ASP,2021-12-01,2021-12-02,1,3.54,3.56,0.02,0.56,1,1,3.64,3.5,24340947
ASP,2021-12-02,2021-12-03,1,3.56,3.52,-0.04,-1.12,-2,-2,3.62,3.52,10920400
ASP,2021-12-03,2021-12-09,4,3.52,3.7,0.18,5.11,9,2,3.76,3.54,50618329
ASP,2021-12-09,2021-12-13,2,3.7,3.58,-0.12,-3.24,-6,-3,3.74,3.56,19420763
ASP,2021-12-13,2021-12-14,1,3.58,3.62,0.04,1.12,2,2,3.62,3.56,6953104
ASP,2021-12-14,2021-12-28,10,3.62,3.42,-0.2,-5.52,-10,-1,3.64,3.42,66257369
ASP,2021-12-28,2021-12-29,1,3.42,3.5,0.08,2.34,4,4,3.5,3.42,4837309
ASP,2021-12-29,2021-12-30,1,3.5,3.46,-0.04,-1.14,-2,-2,3.5,3.46,2888947
ASP,2021-12-30,2022-01-05,4,3.46,3.56,0.1,2.89,5,1,3.56,3.46,10155335
ASP,2022-01-05,2022-01-07,2,3.56,3.54,-0.02,-0.56,-1,-1,3.56,3.5,10407266
ASP,2022-01-06,2022-01-10,2,3.54,3.82,0.28,7.91,14,7,3.86,3.54,101736036
ASP,2022-01-10,2022-01-11,1,3.82,3.68,-0.14,-3.66,-7,-7,3.8,3.62,54706533
ASP,2022-01-11,2022-01-14,3,3.68,3.96,0.28,7.61,14,4,4.2,3.68,327383059
ASP,2022-01-14,2022-01-18,2,3.96,3.86,-0.1,-2.53,-5,-3,4.02,3.82,75279310
ASP,2022-01-17,2022-01-19,2,3.86,3.88,0.02,0.52,1,0,3.88,3.78,55749644
ASP,2022-01-19,2022-01-24,3,3.88,3.66,-0.22,-5.67,-11,-4,3.94,3.66,40427000
ASP,2022-01-24,2022-02-02,7,3.66,3.86,0.2,5.46,10,1,3.88,3.64,57956972
ASP,2022-02-02,2022-02-03,1,3.86,3.82,-0.04,-1.04,-2,-2,3.88,3.82,6358419
ASP,2022-02-03,2022-02-04,1,3.82,3.88,0.06,1.57,3,3,3.9,3.82,11998645
ASP,2022-02-04,2022-02-08,2,3.88,3.82,-0.06,-1.55,-3,-2,3.92,3.82,20267194
ASP,2022-02-08,2022-02-09,1,3.82,3.84,0.02,0.52,1,1,3.92,3.78,25030992
ASP,2022-02-09,2022-02-15,4,3.84,3.78,-0.06,-1.56,-3,-1,3.86,3.72,34701980
ASP,2022-02-14,2022-02-22,6,3.78,3.88,0.1,2.65,5,0,3.96,3.74,87284471
ASP,2022-02-22,2022-02-24,2,3.88,3.68,-0.2,-5.15,-10,-5,3.9,3.68,40083172
ASP,2022-02-24,2022-02-28,2,3.68,3.88,0.2,5.43,10,5,3.9,3.7,29727998
ASP,2022-02-28,2022-03-02,2,3.88,3.86,-0.02,-0.52,-1,-1,3.94,3.84,37805032
ASP,2022-03-01,2022-03-03,2,3.86,3.92,0.06,1.55,3,1,3.98,3.88,65636637
ASP,2022-03-03,2022-03-08,3,3.92,3.78,-0.14,-3.57,-7,-3,3.9,3.64,88565376
ASP,2022-03-08,2022-03-09,1,3.78,3.8,0.02,0.53,1,1,3.84,3.74,24614381
ASP,2022-03-09,2022-03-15,4,3.8,3.44,-0.36,-9.47,-18,-5,3.62,3.44,72149373
ASP,2022-03-15,2022-03-16,1,3.44,3.5,0.06,1.74,3,3,3.5,3.46,3872919
ASP,2022-03-16,2022-03-22,4,3.5,3.44,-0.06,-1.71,-3,-1,3.54,3.44,23922766
ASP,2022-03-22,2022-03-23,1,3.44,3.48,0.04,1.16,2,2,3.5,3.46,3291403
ASP,2022-03-23,2022-03-28,3,3.48,3.44,-0.04,-1.15,-2,-1,3.48,3.44,18552336
